"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.8964539","0.0001666667"
"0.01","0.8908908","0.0015"
"0.02","0.8908908","0.0033"
"0.03","0.919501","0.005"
"0.04","1.0252","0.006666667"
"0.05","1.252492","0.008366667"
"0.06","1.606146","0.01003333"
"0.07","2.090931","0.01176667"
"0.08","2.72274","0.01343333"
"0.09","3.480117","0.0151"
"0.1","4.308224","0.01676667"
"0.11","5.166531","0.01846667"
"0.12","6.038348","0.0201"
"0.13","6.913344","0.0218"
"0.14","7.786751","0.02346667"
"0.15","8.657773","0.0251"
"0.16","9.523232","0.02676667"
"0.17","10.38074","0.02846667"
"0.18","11.23508","0.03013333"
"0.19","12.0918","0.0318"
"0.2","12.95169","0.03346667"
"0.21","13.81715","0.03513333"
"0.22","14.6842","0.03676667"
"0.23","15.55125","0.03846667"
"0.24","16.41432","0.04013333"
"0.25","17.27104","0.0418"
"0.26","18.12538","0.04346667"
"0.27","18.9813","0.04513333"
"0.28","19.84358","0.0468"
"0.29","20.70268","0.04846667"
"0.3","21.55781","0.05013333"
"0.31","22.41135","0.0518"
"0.32","23.25614","0.05343333"
"0.33","24.08584","0.05513334"
"0.34","24.89805","0.0568"
"0.35","25.70788","0.05846667"
"0.36","26.52645","0.0601"
"0.37","27.35694","0.0618"
"0.38","28.19697","0.06343333"
"0.39","29.03303","0.0651"
"0.4","29.86193","0.0668"
"0.41","30.69003","0.06843334"
"0.42","31.52291","0.0701"
"0.43","32.36373","0.0718"
"0.44","33.20138","0.07346667"
"0.45","34.03664","0.07513333"
"0.46","34.87666","0.0768"
"0.47","35.72543","0.07846667"
"0.48","36.5742","0.08013333"
"0.49","37.419","0.08176666"
"0.5","38.26141","0.08346666"
"0.51","39.10065","0.08513334"
"0.52","39.93511","0.0868"
"0.53","40.7656","0.08846667"
"0.54","41.5961","0.09013333"
"0.55","42.43215","0.09176667"
"0.56","43.27059","0.09343334"
"0.57","44.10267","0.09513333"
"0.58","44.92124","0.0968"
"0.59","45.72709","0.09846666"
"0.6","46.52739","0.1001667"
"0.61","47.32847","0.1018"
"0.62","48.12638","0.1034667"
"0.63","48.9219","0.1051333"
"0.64","49.71743","0.1068"
"0.65","50.51057","0.1084667"
"0.66","51.30053","0.1101333"
"0.67","52.09048","0.1118333"
"0.68","52.88522","0.1134667"
"0.69","53.67677","0.1151333"
"0.7","54.45878","0.1168"
"0.71","55.23125","0.1184667"
"0.72","56.00452","0.1201"
"0.73","56.78415","0.1218"
"0.74","57.56537","0.1234667"
"0.75","58.33785","0.1251"
"0.76","59.0992","0.1267667"
"0.77","59.85578","0.1284667"
"0.78","60.61316","0.1301333"
"0.79","61.37212","0.1318"
"0.8","62.13506","0.1334667"
"0.81","62.90118","0.1351333"
"0.82","63.66889","0.1367667"
"0.83","64.43501","0.1384667"
"0.84","65.20192","0.1401333"
"0.85","65.96883","0.1418"
"0.86","66.72859","0.1434667"
"0.87","67.48041","0.1451333"
"0.88","68.22745","0.1468"
"0.89","68.97768","0.1484333"
"0.9","69.72869","0.1501333"
"0.91","70.47495","0.1518"
"0.92","71.21563","0.1534667"
"0.93","71.95791","0.1551333"
"0.94","72.70097","0.1568"
"0.95","73.43848","0.1584333"
"0.96","74.17758","0.1601333"
"0.97","74.92542","0.1618"
"0.98","75.67803","0.1634667"
"0.99","76.42746","0.1651333"
"1","77.17768","0.1668"
"1.01","77.9287","0.1684667"
