"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.7732709","0.0001666667"
"0.01","0.7804235","0.0015"
"0.02","0.7915497","0.0033"
"0.03","0.8336703","0.005"
"0.04","0.9727478","0.006666667"
"0.05","1.248519","0.008366667"
"0.06","1.650651","0.01003333"
"0.07","2.164841","0.01176667"
"0.08","2.827644","0.0134"
"0.09","3.641446","0.0151"
"0.1","4.551411","0.01676667"
"0.11","5.501906","0.01843333"
"0.12","6.464323","0.0201"
"0.13","7.426739","0.0218"
"0.14","8.379619","0.02346667"
"0.15","9.334882","0.0251"
"0.16","10.30127","0.02676667"
"0.17","11.26846","0.02846667"
"0.18","12.23087","0.03013333"
"0.19","13.19488","0.0318"
"0.2","14.16604","0.03346667"
"0.21","15.14196","0.03513333"
"0.22","16.11551","0.03676667"
"0.23","17.08349","0.03846667"
"0.24","18.05067","0.04013333"
"0.25","19.02183","0.0418"
"0.26","19.99299","0.04346667"
"0.27","20.96017","0.04513333"
"0.28","21.92418","0.0468"
"0.29","22.88898","0.04846667"
"0.3","23.8506","0.05013333"
"0.31","24.80348","0.0518"
"0.32","25.75636","0.05343333"
"0.33","26.71877","0.05513334"
"0.34","27.68199","0.0568"
"0.35","28.62295","0.05846667"
"0.36","29.55357","0.0601"
"0.37","30.49771","0.06176667"
"0.38","31.44741","0.06343333"
"0.39","32.38201","0.0651"
"0.4","33.3039","0.0668"
"0.41","34.23452","0.06843334"
"0.42","35.17787","0.0701"
"0.43","36.11803","0.0718"
"0.44","37.05502","0.07346667"
"0.45","37.99836","0.07513333"
"0.46","38.94885","0.0768"
"0.47","39.89776","0.07846667"
"0.48","40.8411","0.08013333"
"0.49","41.79001","0.08176666"
"0.5","42.74686","0.08346666"
"0.51","43.69974","0.08513334"
"0.52","44.63514","0.0868"
"0.53","45.56815","0.08846667"
"0.54","46.51467","0.09013333"
"0.55","47.4596","0.09176667"
"0.56","48.38784","0.09343334"
"0.57","49.31211","0.09513333"
"0.58","50.24751","0.0968"
"0.59","51.18211","0.09846666"
"0.6","52.104","0.1001667"
"0.61","53.02509","0.1018"
"0.62","53.95889","0.1034667"
"0.63","54.89032","0.1051333"
"0.64","55.80981","0.1068"
"0.65","56.7166","0.1084667"
"0.66","57.62259","0.1101333"
"0.67","58.52699","0.1118333"
"0.68","59.4306","0.1134667"
"0.69","60.335","0.1151333"
"0.7","61.24656","0.1168"
"0.71","62.1589","0.1184667"
"0.72","63.05695","0.1201"
"0.73","63.93433","0.1218"
"0.74","64.80773","0.1234667"
"0.75","65.69306","0.1251"
"0.76","66.58316","0.1267667"
"0.77","67.4669","0.1284667"
"0.78","68.34984","0.1301"
"0.79","69.23834","0.1318"
"0.8","70.13321","0.1334667"
"0.81","71.02171","0.1351333"
"0.82","71.91102","0.1367667"
"0.83","72.80668","0.1384667"
"0.84","73.70631","0.1401333"
"0.85","74.60197","0.1418"
"0.86","75.49207","0.1434667"
"0.87","76.38216","0.1451333"
"0.88","77.27544","0.1468"
"0.89","78.16792","0.1484333"
"0.9","79.06358","0.1501333"
"0.91","79.95764","0.1518"
"0.92","80.84695","0.1534667"
"0.93","81.72671","0.1551333"
"0.94","82.60409","0.1568"
"0.95","83.48942","0.1584333"
"0.96","84.38269","0.1601333"
"0.97","85.26881","0.1618"
"0.98","86.14461","0.1634667"
"0.99","87.02914","0.1651333"
"1","87.92719","0.1668"
"1.01","88.83158","0.1684667"
"1.02","89.73201","0.1701333"
"1.03","90.63403","0.1718"
"1.04","91.52969","0.1734667"
"1.05","92.4166","0.1751333"
"1.06","93.29478","0.1768"
"1.07","94.18011","0.1785"
"1.08","95.07815","0.1801333"
"1.09","95.97937","0.1818"
"1.1","96.86788","0.1834667"
"1.11","97.7548","0.1851333"
"1.12","98.64728","0.1867667"
"1.13","99.54453","0.1884333"
"1.14","100.4283","0.1901"
"1.15","101.3001","0.1917667"
"1.16","102.1735","0.1934333"
"1.17","103.0588","0.1951333"
"1.18","103.9529","0.1968"
"1.19","104.8541","0.1984667"
"1.2","105.7585","0.2001333"
"1.21","106.6661","0.2018"
"1.22","107.5768","0.2034333"
"1.23","108.4932","0.2051333"
"1.24","109.4158","0.2068"
"1.25","110.3354","0.2084667"
"1.26","111.2453","0.2101333"
"1.27","112.1521","0.2118"
"1.28","113.0597","0.2134667"
"1.29","113.9657","0.2151333"
"1.3","114.8701","0.2168"
"1.31","115.7681","0.2184667"
"1.32","116.6582","0.2201"
"1.33","117.5491","0.2217667"
"1.34","118.4392","0.2234667"
"1.35","119.3253","0.2251"
"1.36","120.2099","0.2267667"
"1.37","121.0976","0.2284667"
"1.38","121.9821","0.2301333"
"1.39","122.8555","0.2318"
"1.4","123.7202","0.2334667"
"1.41","124.5896","0.2351333"
"1.42","125.4606","0.2367667"
"1.43","126.3253","0.2384667"
"1.44","127.1812","0.2401333"
"1.45","128.0395","0.2418"
"1.46","128.9026","0.2434667"
"1.47","129.7704","0.2451333"
"1.48","130.647","0.2468"
"1.49","131.5292","0.2484333"
"1.5","132.4089","0.2501333"
"1.51","133.2712","0.2518"
"1.52","134.1144","0.2534667"
"1.53","134.9616","0.2551333"
"1.54","135.8263","0.2568"
"1.55","136.6973","0.2584333"
"1.56","137.5627","0.2601"
"1.57","138.4298","0.2618"
"1.58","139.3032","0.2634667"
"1.59","140.1726","0.2651334"
"1.6","141.0254","0.2668"
"1.61","141.8726","0.2684667"
"1.62","142.7309","0.2701333"
"1.63","143.5924","0.2718"
"1.64","144.4491","0.2734667"
"1.65","145.3058","0.2751333"
"1.66","146.1728","0.2768"
"1.67","147.0423","0.2785"
"1.68","147.8974","0.2801333"
"1.69","148.7382","0.2818"
"1.7","149.579","0.2834667"
"1.71","150.4294","0.2851333"
"1.72","151.2758","0.2868"
"1.73","152.1111","0.2884667"
"1.74","152.9447","0.2901333"
"1.75","153.78","0.2917667"
"1.76","154.616","0.2934667"
"1.77","155.4513","0.2951333"
"1.78","156.2889","0.2968"
