"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.4466375","0.0002"
"0.01","0.4522006","0.001533333"
"0.02","0.4704793","0.0033"
"0.03","0.518163","0.005033333"
"0.04","0.6715457","0.0067"
"0.05","1.004537","0.008366667"
"0.06","1.498063","0.01006667"
"0.07","2.097289","0.01176667"
"0.08","2.843539","0.01343333"
"0.09","3.786087","0.0151"
"0.1","4.870892","0.01676667"
"0.11","6.004969","0.01843333"
"0.12","7.14461","0.0201"
"0.13","8.289814","0.0218"
"0.14","9.44217","0.02346667"
"0.15","10.59294","0.02513333"
"0.16","11.73496","0.0268"
"0.17","12.87381","0.02846667"
"0.18","14.01265","0.0301"
"0.19","15.14991","0.03176667"
"0.2","16.28876","0.03346667"
"0.21","17.43237","0.0351"
"0.22","18.58393","0.03676667"
"0.23","19.74344","0.03846667"
"0.24","20.9101","0.04013333"
"0.25","22.07994","0.0418"
"0.26","23.24502","0.04346667"
"0.27","24.40055","0.04513333"
"0.28","25.55211","0.0468"
"0.29","26.70765","0.04843333"
"0.3","27.86557","0.05013333"
"0.31","29.01475","0.0518"
"0.32","30.15041","0.05346667"
"0.33","31.29005","0.05513334"
"0.34","32.44559","0.0568"
"0.35","33.60431","0.05843334"
"0.36","34.75189","0.0601"
"0.37","35.88756","0.0618"
"0.38","37.02402","0.06346667"
"0.39","38.16207","0.06513333"
"0.4","39.29933","0.0668"
"0.41","40.43341","0.06846667"
"0.42","41.55318","0.07013334"
"0.43","42.6658","0.0718"
"0.44","43.7816","0.07346667"
"0.45","44.90535","0.07513333"
"0.46","46.0275","0.0768"
"0.47","47.13694","0.0785"
"0.48","48.23685","0.08013333"
"0.49","49.33357","0.0818"
"0.5","50.43586","0.08346666"
"0.51","51.53974","0.08513334"
"0.52","52.63646","0.08676667"
"0.53","53.73399","0.08846667"
"0.54","54.8331","0.09013333"
"0.55","55.93459","0.09176667"
"0.56","57.02734","0.09346667"
"0.57","58.11691","0.09513333"
"0.58","59.21364","0.0968"
"0.59","60.31434","0.09846666"
"0.6","61.41424","0.1001333"
"0.61","62.50699","0.1017667"
"0.62","63.59736","0.1034333"
"0.63","64.68932","0.1051333"
"0.64","65.7773","0.1068"
"0.65","66.85734","0.1084667"
"0.66","67.93738","0.1101333"
"0.67","69.02933","0.1118333"
"0.68","70.13003","0.1134667"
"0.69","71.22835","0.1151"
"0.7","72.32348","0.1168"
"0.71","73.41226","0.1184667"
"0.72","74.4915","0.1201333"
"0.73","75.5612","0.1218"
"0.74","76.62535","0.1234667"
"0.75","77.69347","0.1251333"
"0.76","78.77032","0.1268"
"0.77","79.84399","0.1284667"
"0.78","80.90417","0.1301333"
"0.79","81.95798","0.1318"
"0.8","83.02451","0.1334667"
"0.81","84.10136","0.1351333"
"0.82","85.17107","0.1368"
"0.83","86.23361","0.1384667"
"0.84","87.2914","0.1401667"
"0.85","88.34521","0.1418"
"0.86","89.39981","0.1434667"
"0.87","90.46317","0.1451667"
"0.88","91.54002","0.1468"
"0.89","92.62164","0.1484667"
"0.9","93.69373","0.1501667"
"0.91","94.75946","0.1518"
"0.92","95.82599","0.1534667"
"0.93","96.89013","0.1551333"
"0.94","97.95189","0.1567667"
"0.95","99.01524","0.1584333"
"0.96","100.0873","0.1601"
"0.97","101.169","0.1618"
"0.98","102.2609","0.1634667"
"0.99","103.3576","0.1651333"
"1","104.4575","0.1668"
"1.01","105.5598","0.1684667"
"1.02","106.6589","0.1701"
"1.03","107.7509","0.1718"
"1.04","108.8405","0.1734667"
"1.05","109.9348","0.1751333"
"1.06","111.0307","0.1768"
"1.07","112.1219","0.1785"
"1.08","113.2099","0.1801333"
"1.09","114.2979","0.1818"
"1.1","115.3874","0.1834667"
"1.11","116.4754","0.1851333"
"1.12","117.5594","0.1867667"
"1.13","118.6419","0.1884667"
"1.14","119.7275","0.1901333"
"1.15","120.8019","0.1917667"
"1.16","121.8629","0.1934667"
"1.17","122.9143","0.1951333"
"1.18","123.9713","0.1968"
"1.19","125.0354","0.1984333"
"1.2","126.0932","0.2001333"
"1.21","127.1383","0.2018"
"1.22","128.1826","0.2034333"
"1.23","129.234","0.2051333"
"1.24","130.2894","0.2068"
"1.25","131.3384","0.2084667"
"1.26","132.3803","0.2101333"
"1.27","133.4246","0.2118"
"1.28","134.4705","0.2134667"
"1.29","135.5092","0.2151"
"1.3","136.5423","0.2168"
"1.31","137.5755","0.2184667"
"1.32","138.6102","0.2201333"
"1.33","139.6441","0.2218"
"1.34","140.6797","0.2234667"
