Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5	0.0049981	-0.030236	-165.3	1.5		0.00018365	-5.75	4:43:18 PM	-0.00791
	2	10.001	0.0066077	-0.0399	-165.61	1.5		0.0002428	-25.4	4:43:23 PM	-0.00834
	3	15.002	0.0087329	-0.024331	-358.92	1.5		0.00032089	-42	4:43:28 PM	-0.008
	4	20.003	0.011542	0.0032269	3576.7	1.5		0.00042409	-47.6	4:43:33 PM	-0.00803
	5	25.004	0.015254	0.037089	411.27	1.5		0.00056048	-37.8	4:43:38 PM	-0.00771
	6	30.005	0.020159	0.082627	243.98	1.5		0.00074075	-8.36	4:43:43 PM	-0.00762
	7	35.006	0.026643	0.14134	188.5	1.5		0.00097899	47.1	4:43:48 PM	-0.00776
	8	40.007	0.035212	0.21459	164.09	1.5		0.0012938	136	4:43:53 PM	-0.00734
	9	45.008	0.046537	0.30668	151.74	1.5		0.00171	265	4:43:58 PM	-0.00758
	10	50.009	0.061504	0.43199	142.37	1.5		0.0022599	448	4:44:03 PM	-0.00748
	11	55.01	0.081285	0.63808	127.39	1.5		0.0029868	711	4:44:08 PM	-0.00713
	12	60.011	0.10743	0.97891	109.74	1.5		0.0039474	1.11E+03	4:44:13 PM	-0.00685
	13	65.012	0.14198	1.361	104.32	1.5		0.005217	1.7E+03	4:44:18 PM	-0.00683
	14	70.013	0.18764	1.8485	101.51	1.5		0.0068948	2.49E+03	4:44:23 PM	-0.00648
	15	75.014	0.24799	2.4481	101.3	1.5		0.0091124	3.56E+03	4:44:28 PM	-0.00715
	16	80.015	0.32775	3.2075	102.18	1.5		0.012043	4.97E+03	4:44:33 PM	-0.00795
	17	85.016	0.43316	4.1353	104.75	1.5		0.015916	6.8E+03	4:44:38 PM	-0.00816
	18	90.017	0.57248	5.4953	104.18	1.5		0.021035	9.18E+03	4:44:43 PM	-0.00765
	19	95.018	0.7566	7.3248	103.29	1.5		0.027801	1.24E+04	4:44:48 PM	-0.00775
	20	100.02	0.99994	9.641	103.72	1.5		0.036742	1.66E+04	4:44:53 PM	-0.00733

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	1	10.931	91.486	1.5		0.036744	2.18E+04	4:44:58 PM	-0.00731
	2	110.02	0.75671	9.8101	77.136	1.5		0.027805	2.71E+04	4:45:03 PM	-0.00723
	3	115.02	0.57256	7.7394	73.979	1.5		0.021038	3.15E+04	4:45:08 PM	-0.00705
	4	120.02	0.43322	5.8755	73.735	1.5		0.015919	3.49E+04	4:45:13 PM	-0.0078
	5	125.03	0.3278	4.4802	73.166	1.5		0.012045	3.75E+04	4:45:18 PM	-0.00757
	6	130.03	0.24803	3.4368	72.168	1.5		0.0091137	3.94E+04	4:45:23 PM	-0.0074
	7	135.03	0.18767	2.5546	73.463	1.5		0.0068958	4.09E+04	4:45:28 PM	-0.00805
	8	140.03	0.142	1.8371	77.295	1.5		0.0052177	4.2E+04	4:45:33 PM	-0.0076
	9	145.03	0.10744	1.3725	78.282	1.5		0.003948	4.28E+04	4:45:38 PM	-0.00703
	10	150.03	0.081297	1.0944	74.287	1.5		0.0029872	4.34E+04	4:45:43 PM	-0.0073
	11	155.03	0.061513	0.86092	71.45	1.5		0.0022603	4.39E+04	4:45:48 PM	-0.00714
	12	160.03	0.046544	0.70663	65.867	1.5		0.0017102	4.43E+04	4:45:53 PM	-0.00731
	13	165.03	0.035217	0.52806	66.691	1.5		0.001294	4.46E+04	4:45:58 PM	-0.00749
